title,rating,vote,quote
肖申克的救赎,9.7,3097118,希望让人自由。
霸王别姬,9.6,2285571,风华绝代。
阿甘正传,9.5,2305041,一部美国近现代史。
泰坦尼克号,9.5,2346202,失去的才是永恒的。 
千与千寻,9.4,2394266,最好的宫崎骏，最好的久石让。 
美丽人生,9.5,1408156,最美的谎言。
这个杀手不太冷,9.4,2442701,怪蜀黍和小萝莉不得不说的故事。
星际穿越,9.4,2018590,爱是一种力量，让我们超越时空感知它的存在。
盗梦空间,9.4,2203851,诺兰给了我们一场无法盗取的梦。
楚门的世界,9.4,1876500,如果再也不能见到你，祝你早安，午安，晚安。
辛德勒的名单,9.5,1190337,拯救一个人，就是拯救整个世界。
忠犬八公的故事,9.4,1473448,永远都不能忘记你所爱的人。
海上钢琴师,9.3,1788652,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
三傻大闹宝莱坞,9.2,1973029,英俊版憨豆，高情商版谢耳朵。
放牛班的春天,9.3,1399633,天籁一般的童声，是最接近上帝的存在。 
机器人总动员,9.3,1404740,小瓦力，大人生。
疯狂动物城,9.2,2103979,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
无间道,9.3,1472446,香港电影史上永不过时的杰作。
控方证人,9.6,643646,比利·怀德满分作品。
大话西游之大圣娶亲,9.2,1625849,一生所爱。
熔炉,9.3,989628,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
教父,9.3,1041323,千万不要记恨你的对手，这样会让你失去理智。
触不可及,9.3,1213426,满满温情的高雅喜剧。
寻梦环游记,9.1,1830388,死亡不是真的逝去，遗忘才是永恒的消亡。
当幸福来敲门,9.2,1610881,平民励志片。 
末代皇帝,9.3,963504,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
龙猫,9.2,1345478,人人心中都有个龙猫，童年就永远不会消失。
哈利·波特与魔法石,9.2,1321237,童话世界的开端。
怦然心动,9.1,1950794,真正的幸福是来自内心深处。
活着,9.3,914935,张艺谋最好的电影。
蝙蝠侠：黑暗骑士,9.2,1134482,无尽的黑暗。
指环王3：王者无敌,9.3,860919,史诗的终章。
我不是药神,9.0,2239253,对我们国家而言，这样的电影多一部是一部。
乱世佳人,9.3,742764,Tomorrow is another day.
飞屋环游记,9.1,1417268,最后那些最无聊的事情，才是最值得怀念的。 
素媛,9.3,736631,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
哈尔的移动城堡,9.1,1194096,带着心爱的人在天空飞翔。
让子弹飞,9.0,1818795,你给我翻译翻译，神马叫做TMD的惊喜。
十二怒汉,9.4,539438,1957年的理想主义。 
海蒂和爷爷,9.3,704536,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
何以为家,9.1,1113446,凝视卑弱生命，用电影改变命运。
猫鼠游戏,9.1,1125813,骗子大师和执著警探的你追我跑故事。 
摔跤吧！爸爸,9.0,1662354,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
天空之城,9.2,952282,对天空的追逐，永不停止。 
鬼子来了,9.3,673972,对敌人的仁慈，就是对自己残忍。
少年派的奇幻漂流,9.1,1425770,瑰丽壮观、无人能及的冒险之旅。
钢琴家,9.3,700870,音乐能化解仇恨。
指环王2：双塔奇兵,9.2,809344,承前启后的史诗篇章。
大话西游之月光宝盒,9.0,1295008,旷古烁今。
死亡诗社,9.2,809337,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
闻香识女人,9.1,963302,史上最美的探戈。
绿皮书,8.9,1779947,去除成见，需要勇气。
大闹天宫,9.4,476466,经典之作，历久弥新。
罗马假日,9.1,1002532,爱情哪怕只有一天。
黑客帝国,9.1,895910,视觉革命。
指环王1：护戒使者,9.1,908052,传说的开始。
教父2,9.3,598678,优雅的孤独。
天堂电影院,9.2,713174,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
狮子王,9.1,908311,动物版《哈姆雷特》。
辩护人,9.2,629966,电影的现实意义大过电影本身。
饮食男女,9.2,673376,人生不能像做菜，把所有的料都准备好了才下锅。
搏击俱乐部,9.0,912385,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
本杰明·巴顿奇事,9.0,1051145,在时间之河里感受溺水之苦。
美丽心灵,9.1,818362,爱是一切逻辑和原由。
穿条纹睡衣的男孩,9.2,609805,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
窃听风暴,9.2,604215,别样人生。
情书,8.9,1218615,暗恋的极致。
两杆大烟枪,9.1,640034,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
哈利·波特与死亡圣器(下),9.0,910049,10年的完美句点。
音乐之声,9.1,647002,用音乐化解仇恨，让歌声串起美好。
看不见的客人,8.8,1367554,你以为你以为的就是你以为的。
西西里的美丽传说,8.9,1043235,美丽无罪。
阿凡达,8.8,1502770,绝对意义上的美轮美奂。
拯救大兵瑞恩,9.1,689797,美利坚精神输出大片No1.
功夫,8.9,1243091,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
哈利·波特与阿兹卡班的囚徒,9.0,826173,不一样的导演，不一样的哈利·波特。
小鞋子,9.2,440127,奔跑的孩子是天使。
飞越疯人院,9.1,579102,自由万岁。
沉默的羔羊,8.9,961285,安东尼·霍普金斯的顶级表演。
布达佩斯大饭店,8.9,1021117,小清新的故事里注入了大历史的情怀。
蝴蝶效应,8.9,1008590,人的命运被自己瞬间的抉择改变。
禁闭岛,8.9,1053086,昔日翩翩少年，今日大腹便便。
致命魔术,8.9,919249,孪生蝙蝠侠大战克隆金刚狼。
心灵捕手,9.0,775085,人生中应该拥有这样的一段豁然开朗。
超脱,9.0,672315,穷尽一生，我们要学会的，不过是彼此拥抱。
低俗小说,8.9,903843,故事的高级讲法。
摩登时代,9.3,326358,大时代中的人生，小人物的悲喜。
喜剧之王,8.8,1035146,我是一个演员。
春光乍泄,9.0,675730,爱情纠缠，男女一致。
哈利·波特与密室,8.9,851757,魔法的密室之门已打开...
致命ID,8.9,893424,最不可能的那个人永远是最可能的。
海豚湾,9.3,371851,海豚的微笑，是世界上最高明的伪装。
杀人回忆,8.9,783299,关于连环杀人悬案的集体回忆。
美国往事,9.1,446035,往事如烟，无处祭奠。
一一,9.1,449507,我们都曾经是一一。
红辣椒,9.0,524237,梦的勾结。
加勒比海盗,8.8,919086,约翰尼·德普的独角戏。
七宗罪,8.8,1003349,警察抓小偷，老鼠玩死猫。
唐伯虎点秋香,8.7,1159267,华太师是黄霑，吴镇宇四大才子之一。
狩猎,9.1,433380,人言可畏。
7号房的礼物,8.9,593870,《我是山姆》的《美丽人生》。
蝙蝠侠：黑暗骑士崛起,8.9,773437,诺兰就是保证。
甜蜜蜜,8.9,622737,相逢只要一瞬间，等待却像是一辈子。
被嫌弃的松子的一生,8.8,743633,以戏谑来戏谑戏谑。
爱在黎明破晓前,8.8,746841,缘分是个连绵词，最美不过一瞬。
超能陆战队,8.8,1087521,Balalala~~~
第六感,8.9,601045,深入内心的恐怖，出人意料的结局。
寄生虫,8.8,1468421,
重庆森林,8.8,873564,寂寞没有期限。
爱在日落黄昏时,8.9,612508,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
入殓师,8.9,713884,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
幽灵公主,8.9,563231,人与自然的战争史诗。
请以你的名字呼唤我,8.8,780656,沉醉在电影的情感和视听氛围中无法自拔。
剪刀手爱德华,8.7,1084973,浪漫忧郁的成人童话。
断背山,8.8,747702,每个人心中都有一座断背山。
勇敢的心,8.9,584715,史诗大片的典范。
菊次郎的夏天,8.9,641796,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
借东西的小人阿莉埃蒂,8.9,595607,曾经的那段美好会沉淀为一辈子的记忆。
未麻的部屋,9.1,389380,好的剧本是，就算你猜到了结局也猜不到全部。
哈利·波特与火焰杯,8.8,743969,
消失的爱人,8.7,1024281,年度最佳date movie。
无人知晓,9.1,352113,我的平常生活就是他人的幸福。
时空恋旅人,8.8,738379,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
茶馆,9.6,180950,
倩女幽魂,8.8,782938,两张绝世的脸。 
完美的世界,9.1,341381,坏人的好总是比好人的好来得更感人。
阳光灿烂的日子,8.8,658295,一场华丽的意淫。
小森林 夏秋篇,9.0,452411,那些静得只能听见呼吸的日子里，你明白孤独即生活。
天使爱美丽,8.7,991790,法式小清新。 
驯龙高手,8.8,809492,和谐的生活离不开摸头与被摸头。
侧耳倾听,8.9,497284,少女情怀总是诗。
头脑特工队,8.8,726635,愿我们都不用长大，每一座城堡都能永远存在。
新世界,8.9,490549,要做就做得狠一点，这样才能活下去。
怪兽电力公司,8.8,727815,不要给它起名字，起了名字就有感情了。
教父3,9.0,406137,任何信念的力量，都无法改变命运。
傲慢与偏见,8.7,867551,爱是摈弃傲慢与偏见之后的曙光。
一个叫欧维的男人决定去死,8.9,527783,惠及一生的美丽。
玩具总动员3,8.9,558924,跨度十五年的欢乐与泪水。
幸福终点站,8.8,610851,有时候幸福需要等一等。 
小森林 冬春篇,9.0,402371,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
色，戒,8.7,896865,假戏真情，爱欲深海
被解救的姜戈,8.8,654539,热血沸腾，那个低俗、性感的无耻混蛋又来了。
釜山行,8.6,1282937,揭露人性的丧尸题材力作。
神偷奶爸,8.7,1004249,Mr. I Don't Care其实也有Care的时候。
萤火之森,8.8,579857,触不到的恋人。
九品芝麻官,8.7,744006,
哪吒闹海,9.2,281030,想你时你在闹海。
告白,8.8,710950,没有一人完全善，也没有一人完全恶。
喜宴,9.0,399589,中国家庭的喜怒哀乐忍。
玛丽和马克思,9.0,441170,你是我最好的朋友，你是我唯一的朋友 。
模仿游戏,8.8,691469,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
头号玩家,8.6,1447702,写给影迷，动漫迷和游戏迷的一封情书。
花样年华,8.8,664117,偷情本没有这样美。
大鱼,8.8,601100,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
七武士,9.3,216706,时代悲歌。
射雕英雄传之东成西就,8.7,682771,百看不厌。 
惊魂记,9.0,329615,故事的反转与反转，分裂电影的始祖。
